Metric,Value
Sharpe Ratio,99.887
Calmar Ratio,88.689
Sortino Ratio,N/A
Max Consecutive Wins,19
Max Consecutive Losses,3
Average Trade Duration (hours),N/A
Best Month Return (%),N/A
Worst Month Return (%),N/A
