datetime,entry_price,return,pnl,equity
2025-05-07 04:00:00,96568,0.018025929914671526,0.0003605185982934305,1.0003605185982933
2025-05-11 00:00:00,104436,-0.002199854456317745,-4.401295089525573e-05,1.0003165056473982
2025-05-11 04:00:00,104163,-0.004748826358687826,-9.500658778097728e-05,1.0002214990596172
2025-05-11 08:00:00,103853,0.003395068028848468,6.791640066448388e-05,1.0002894154602817
2025-05-11 12:00:00,104631,-0.011110703328841356,-0.00022227837876318652,1.0000671370815186
2025-05-11 16:00:00,104012,-0.015662115909702727,-0.0003132633483691062,0.9997538737331495
2025-05-11 20:00:00,104318,-0.018561245422649975,-0.00037113354025212,0.9993827401928974
2025-05-12 16:00:00,102859,-0.01555951350878387,-0.0003109981849295366,0.9990717420079679
2025-05-12 20:00:00,102681,0.017123674292225437,0.0003421555820942145,0.999413897590062
2025-05-13 00:00:00,102243,0.016226323562493275,0.0003243362655029773,0.999738233855565
2025-05-13 04:00:00,102738,0.016557145360042047,0.00033105622519876603,1.0000692900807637
2025-05-13 08:00:00,102726,0.016676362362011563,0.0003335503573701294,1.0004028404381338
2025-05-13 12:00:00,103695,-0.0009526013790443128,-1.9059702508024275e-05,1.0003837807356257
2025-05-13 16:00:00,103754,-0.007566127570985215,-0.00015138062609980493,1.000232400109526
2025-05-14 04:00:00,103734,-0.01190483351649411,-0.00023815200402214462,0.9999942481055039
2025-05-14 08:00:00,103232,-0.017803859268443894,-0.00035607513725047517,0.9996381729682534
2025-05-14 12:00:00,104011,-0.01589297285863995,-0.0003177444470288975,0.9993204285212245
2025-05-14 16:00:00,103384,-0.014804379787974928,-0.0002958863830742012,0.9990245421381503
2025-05-14 20:00:00,103576,-0.015344326871089827,-0.00030658718253617263,0.9987179549556141
2025-05-15 00:00:00,103837,-0.014237198686402728,-0.0002843789191276177,0.9984335760364865
2025-05-15 04:00:00,102914,-0.014756554015974503,-0.00029466877992289996,0.9981389072565636
2025-05-16 00:00:00,103785,-0.007690321337380161,-0.0001535201787228894,0.9979853870778407
2025-05-18 00:00:00,103411,0.016500720426260263,0.0003293495572332916,0.998314736635074
2025-05-18 04:00:00,103384,0.01676723670974232,0.0003347795899996869,0.9986495162250737
2025-05-18 08:00:00,103934,0.020881174591567724,0.0004170594980816082,0.9990665757231553
2025-05-18 12:00:00,103977,0.02045733190994162,0.00040876473079394824,0.9994753404539493
2025-05-18 20:00:00,104169,0.01856909445228427,0.0003711870399923672,0.9998465274939417
2025-05-19 12:00:00,102444,0.019573854984186484,0.00039141701871217674,1.000237944512654
2025-05-19 16:00:00,105387,-0.005328437093759192,-0.00010659409932253348,1.0001313504133313
2025-05-19 20:00:00,105484,0.009897842326798377,0.00019798284824958182,1.000329333261581
2025-06-06 08:00:00,103587,0.00805749756243544,0.00016120302328775717,1.0004905362848688
2025-06-06 12:00:00,103874,0.011846121262298556,0.00023703864429225338,1.000727574929161
2025-06-22 12:00:00,102788,-0.0222900727711406,-0.0004461258093851612,1.000281449119776
2025-06-22 16:00:00,99694,0.01737540875077738,0.00034760598088552066,1.0006290551006616
2025-06-23 12:00:00,101709,0.016686468257479672,0.00033393929930898136,1.0009629943999705
2025-11-06 12:00:00,102523,-0.020864508451762045,-0.0004176920171311846,1.0005453023828392
2025-11-06 16:00:00,100794,-0.016123737524058972,-0.00032265059673102235,1.0002226517861081
2025-11-06 20:00:00,100837,-0.016544998363695863,-0.00033097364274265394,0.9998916781433654
2025-11-07 04:00:00,101960,-0.0162204786190663,-0.00032437443173413563,0.9995673037116313
2025-11-09 00:00:00,101758,0.01645048055189764,0.00032886724980041906,0.9998961709614317
2025-11-09 04:00:00,101709,0.016037558131532115,0.00032071785934580674,1.0002168888207774
