datetime,return,pnl,equity
2025-04-23 08:00:00,-0.01723281483602125,-0.000344656296720425,0.9996553437032796
2025-05-11 04:00:00,-0.004748826358687826,-9.494379291562545e-05,0.9995603999103639
2025-05-11 08:00:00,0.003395068028848468,6.787151113277331e-05,0.9996282714214967
2025-05-11 12:00:00,-0.011110703328841356,-0.0002221314632577351,0.9994061399582389
2025-05-12 16:00:00,-0.01555951350878387,-0.00031100546670883526,0.9990951344915301
2025-05-12 20:00:00,0.017123674292225437,0.0003421635933996026,0.9994372980849296
2025-05-13 00:00:00,0.016226323562493275,0.0003243438595830022,0.9997616419445127
2025-05-13 16:00:00,-0.007566127570985215,-0.0001512864824705965,0.999610355462042
2025-05-13 20:00:00,-0.016663070507670533,-0.0003331315566652322,0.9992772239053768
2025-05-14 08:00:00,-0.017803859268443894,-0.00035581982129145255,0.9989214040840854
2025-05-14 12:00:00,-0.01589297285863995,-0.00031751661526045755,0.9986038874688249
2025-05-14 20:00:00,-0.015344326871089827,-0.0003064580892812531,0.9982974293795437
2025-05-18 08:00:00,0.020881174591567724,0.00041691245834375,0.9987143418378874
2025-05-18 12:00:00,0.02045733190994162,0.00040862061548393124,0.9991229624533714
2025-05-19 08:00:00,0.016608373120018595,0.00033187613906407844,0.9994548385924354
2025-06-06 12:00:00,0.011846121262298556,0.00023679326428314038,0.9996916318567186
2025-06-23 20:00:00,0.019706086906264148,0.00039400020353667046,1.0000856320602554
2025-11-05 00:00:00,0.01730643669242935,0.0003461583735651801,1.0004317904338205
2025-11-06 16:00:00,-0.016123737524058972,-0.0003226139919935859,1.0001091764418268
